tweet_id,retweeters,timestamps,n_rts,user_id,followers,n_network_followers,link,n_followers,text,topic,natures
591984228121837568,"['2397106153', '2831673248', '2453676953', '520542949', '414170281', '93431063', '2265743366', '62281815', '117439280', '550861433', '385700529', '2994106151', '126906229', '2822102638', '954561926', '25474920', '22393125', '3040336566', '614080804', '815588190', '1375526088', '3005828413', '106169379', '227841924', '2529235346', '89335410', '449348815', '1663048134', '2494304935', '98788477', '164868981', '120504101', '498775833', '205281782', '41156456', '436901454', '343049331', '146687597', '18797983', '3051178992', '333433870', '213174567', '124952672', '977984095', '196361263', '103489939', '2284410782', '1020001202', '171625925', '121158213', '2569844741', '1912522274', '3047697932', '50137311', '1875858493', '939537901', '1969808210', '2798533159', '141388675', '1596181087', '2398539631', '2976858754', '505103323', '390342295', '22321415', '428971031', '171826185', '14055301', '538266005', '10727332', '378905815', '759251', '295417021', '23820135', '1415709745', '33049238', '3020232633', '564249925', '194408255', '347570283', '38007152', '2246888573', '1487859246', '894898747', '1193350250', '109055971', '711040945', '2256770684', '594683722', '2500912902', '886371415', '296474064', '33043889', '2795826254', '2777985608', '17021418', '11389942', '308181986', '335872930', '3165027986', '312943358', '190350692', '49409439', '2974060396', '883429706', '56442972', '152031990', '2437114425', '2306619133', '1107646903', '935744864', '353284893', '618693175', '37355289', '101543567', '135324950', '18813073', '22653239', '1360673840', '176176186', '2695693795', '36505185', '1380540614', '36669208', '14774427', '36626111', '15397898', '3042519871', '23173950', '2729376415', '361901708', '187955786', '2743647945', '42053787', '948708523', '1051485312', '2275656768', '2203889385', '48438566', '2704888866', '2918568942', '146712534', '49157283', '176343765', '192450756', '2882956356', '2224317068', '614436776', '2187809365', '57939886', '189729793', '226083113', '65180729', '1654333627', '2998785194', '2912574474', '2722777255', '2987282723', '1571984054', '516945081', '3040200507', '3195976420']","[1429955271.0, 1429955284.0, 1429955285.0, 1429955299.0, 1429955299.0, 1429955299.0, 1429955299.0, 1429955299.0, 1429955325.0, 1429955341.0, 1429955354.0, 1429955359.0, 1429955360.0, 1429955405.0, 1429955406.0, 1429955446.0, 1429955474.0, 1429955510.0, 1429955515.0, 1429955536.0, 1429955568.0, 1429955568.0, 1429955582.0, 1429955582.0, 1429955590.0, 1429955594.0, 1429955633.0, 1429955636.0, 1429955647.0, 1429955661.0, 1429955671.0, 1429955691.0, 1429955753.0, 1429955813.0, 1429955832.0, 1429955835.0, 1429955881.0, 1429955898.0, 1429955929.0, 1429955937.0, 1429956009.0, 1429956011.0, 1429956059.0, 1429956115.0, 1429956126.0, 1429956127.0, 1429956147.0, 1429956178.0, 1429956190.0, 1429956196.0, 1429956198.0, 1429956198.0, 1429956248.0, 1429956248.0, 1429956294.0, 1429956298.0, 1429956309.0, 1429956315.0, 1429956326.0, 1429956379.0, 1429956410.0, 1429956537.0, 1429956545.0, 1429956563.0, 1429956621.0, 1429956673.0, 1429956695.0, 1429956750.0, 1429956806.0, 1429956808.0, 1429956846.0, 1429956910.0, 1429956996.0, 1429957002.0, 1429957034.0, 1429957034.0, 1429957085.0, 1429957090.0, 1429957102.0, 1429957111.0, 1429957169.0, 1429957179.0, 1429957180.0, 1429957229.0, 1429957281.0, 1429957297.0, 1429957301.0, 1429957345.0, 1429957348.0, 1429957352.0, 1429957352.0, 1429957356.0, 1429957453.0, 1429957475.0, 1429957478.0, 1429957518.0, 1429957531.0, 1429957550.0, 1429957573.0, 1429957579.0, 1429957594.0, 1429957638.0, 1429957643.0, 1429957648.0, 1429957655.0, 1429957659.0, 1429957660.0, 1429957751.0, 1429957758.0, 1429957778.0, 1429957780.0, 1429957787.0, 1429957861.0, 1429958002.0, 1429958010.0, 1429958298.0, 1429958298.0, 1429958383.0, 1429958444.0, 1429958618.0, 1429958682.0, 1429958734.0, 1429975225.0, 1429975226.0, 1429975812.0, 1429976438.0, 1429977354.0, 1429977426.0, 1429977891.0, 1429979112.0, 1429979508.0, 1429979645.0, 1429979667.0, 1429980267.0, 1429982946.0, 1429985876.0, 1429989420.0, 1429990031.0, 1429990385.0, 1429991894.0, 1429992263.0, 1429992374.0, 1429993919.0, 1429994694.0, 1429994875.0, 1429998597.0, 1430001678.0, 1430002599.0, 1430002823.0, 1430004713.0, 1430006355.0, 1430011056.0, 1430018791.0, 1430029160.0, 1430034209.0, 1430035339.0, 1430037328.0, 1430038698.0, 1430041762.0, 1430042388.0, 1430050515.0, 1430051203.0, 1430053255.0]",162,428333,,53849,https://twitter.com/anyuser/status/591984228121837568,43000.0,#NepalEarthquake --  @CNNImpact  now lists ways to help the people in #Nepal from this devastating #Earthquake http://cnn.com/impact #donate,"7. Relief efforts, resources, donations, and infrastructure",0
592280118376026113,"['3195732905', '150493886', '2162649559', '391354039', '28242717', '27911210', '1710109508', '3127119358', '277413654', '1611159300', '3088099404', '2313487754', '167326284', '154267550', '24205748', '1920598568', '79695882', '1418156491', '3061583109', '135459151', '131923935', '598908978', '138732272', '2512040634', '34239430', '996313820', '1287541358', '165477824', '2242038759', '439207916', '223421501', '2822391895', '534768699', '446063020', '159407514', '3030332133', '2980386581', '125199800', '2997488068', '87661105', '66051849', '2956615097', '146013557', '536287040', '419287862', '1258458732', '213769399', '152271565', '3096329482', '2291564089', '3068306186', '3145034352', '899298877', '2182198124', '100501004', '18604186', '2899317696', '306047323', '2918568942', '860945064', '1872482677', '2975895675', '2580733754', '436150388', '1256917675', '1952943488', '605126816', '2886136484', '1964528498', '2735229048', '169443642', '407052908', '1957039844', '120543012', '434743177', '2529854316', '2435267604', '242738452', '389320666', '282470727', '544562214', '381913143', '376061931', '272268965', '1127907294', '784631186', '1654415378', '3151241828', '2991938676', '2211374696', '2238742566', '107626653', '114713492', '345770852', '400026371', '2235305143', '102644073', '182949263', '35706221', '214298889', '96677460', '240990503', '2991998016', '254792363', '3030222195', '179471601', '952697730', '62306952', '2950295257', '1575030895', '389104963', '303900697', '393039515', '3105524822', '218567975', '47629128', '103820395', '285619934', '1264268972', '602711705', '230765968', '2936103421', '2997859109', '311601261', '2285418318', '3071629836', '615327247', '471061786', '2949075016', '2787740334', '45304387', '3079326420', '36789594', '381004807', '3004260509', '1934603346', '2858296711', '505453478', '3051556585', '2370026108', '3174435607', '1301783310', '3061885848', '285328319', '1952405322', '236703820', '230754474', '1425697238', '526218032', '1654288483', '1543436755']","[1430026217.0, 1430026268.0, 1430026277.0, 1430026343.0, 1430026372.0, 1430026405.0, 1430026428.0, 1430026428.0, 1430026430.0, 1430026435.0, 1430026447.0, 1430026471.0, 1430026472.0, 1430026482.0, 1430026482.0, 1430026519.0, 1430026541.0, 1430026550.0, 1430026570.0, 1430026602.0, 1430026608.0, 1430026617.0, 1430026622.0, 1430026653.0, 1430026683.0, 1430026692.0, 1430026694.0, 1430026755.0, 1430026783.0, 1430026785.0, 1430026852.0, 1430026859.0, 1430026865.0, 1430026899.0, 1430026904.0, 1430026919.0, 1430026919.0, 1430026940.0, 1430027072.0, 1430027089.0, 1430027090.0, 1430027102.0, 1430027184.0, 1430027189.0, 1430027258.0, 1430027286.0, 1430027294.0, 1430027343.0, 1430027397.0, 1430027401.0, 1430027409.0, 1430027416.0, 1430027418.0, 1430027453.0, 1430027456.0, 1430027473.0, 1430027479.0, 1430027517.0, 1430027519.0, 1430027527.0, 1430027533.0, 1430027540.0, 1430027550.0, 1430027556.0, 1430027562.0, 1430027577.0, 1430027581.0, 1430027587.0, 1430027604.0, 1430027638.0, 1430027638.0, 1430027661.0, 1430027666.0, 1430027685.0, 1430027687.0, 1430027708.0, 1430027767.0, 1430027776.0, 1430027818.0, 1430027958.0, 1430028002.0, 1430028027.0, 1430028030.0, 1430028033.0, 1430028038.0, 1430028047.0, 1430028066.0, 1430028075.0, 1430028100.0, 1430028107.0, 1430028376.0, 1430028390.0, 1430028402.0, 1430028439.0, 1430028577.0, 1430028738.0, 1430028921.0, 1430028961.0, 1430029005.0, 1430029153.0, 1430029171.0, 1430029289.0, 1430029291.0, 1430029367.0, 1430029368.0, 1430029409.0, 1430029463.0, 1430029483.0, 1430029498.0, 1430029590.0, 1430029612.0, 1430029694.0, 1430029998.0, 1430030037.0, 1430030384.0, 1430031125.0, 1430031163.0, 1430031341.0, 1430031348.0, 1430031419.0, 1430031458.0, 1430031665.0, 1430031704.0, 1430031928.0, 1430031980.0, 1430031994.0, 1430032019.0, 1430032201.0, 1430032231.0, 1430032401.0, 1430033110.0, 1430033440.0, 1430033878.0, 1430034242.0, 1430035310.0, 1430035958.0, 1430037330.0, 1430037877.0, 1430038089.0, 1430038801.0, 1430039002.0, 1430039115.0, 1430039373.0, 1430039639.0, 1430040661.0, 1430041040.0, 1430042348.0, 1430047456.0, 1430049077.0, 1430049722.0, 1430053148.0, 1430054624.0]",151,742143,,50490,https://twitter.com/anyuser/status/592280118376026113,17500.0,People are camping outside #NepalEarthquake,"7. Relief efforts, resources, donations, and infrastructure",1
592158743455993856,"['1550821693', '760544600', '1375526088', '42346547', '47597241', '2829628308', '2801855875', '3193241615', '609813993', '3047873100', '2240135256', '1936272457', '3018030548', '2904610481', '192053214', '754056356', '23134931', '3171815826', '2228722637', '2813263498', '1543436755', '3171937656', '2664688544', '29077953', '952583622', '154525770', '65287849', '2997164272', '2828198472', '471601982', '338728772', '461262004', '160922375', '3152210612', '76317590', '44926206', '1250592218', '112714276', '89396188', '299753138', '295752830', '279622557', '2244414138', '360042106', '66839392', '2833062699', '284345875', '2456209296', '2289853855', '1936278944', '131562679', '25877817', '146269987', '265770462', '1114625347', '101080601', '323591023', '3164244164', '2224317068', '49789354', '296855412', '380505527', '3148596191', '1074572672', '2311386614', '261872650', '602659703', '1933990206', '496095316', '32747840', '2195274032', '487930900', '93844875', '25683504', '32077461', '2463950905', '498246771', '2312980808', '34664343', '714926235', '35706221', '115556928', '782716765', '282632032', '2961750019', '134455711', '15222263', '201749277', '922420344', '223930293', '492136342', '3095850365', '76666278', '3041300267', '2912434915', '272353817', '34266989', '2908628574', '251949170', '49190123', '401207514', '1938644785', '1930304396', '18507199', '129993447', '64176789', '1030058700', '3122620943', '250333264', '205914861', '2867757727', '162318519', '2429062508', '189828213', '855471967', '591091844', '3132222189', '633843393', '416329087', '363717962', '264055362', '95625678', '2385213589', '343345302', '1672294591', '2586064351', '558999318', '2909952637', '396485112', '308181986', '37594092', '3199567917', '3171748121', '2730687644', '1579581361', '217697349', '30760920', '31010923', '60622825', '48027712', '108912964', '3169916240', '60460126', '1271640660', '240320058', '3117086702', '2264536383', '2361690961', '2993166791', '417864839', '1220075942', '1637444990', '2945180324', '275942684', '125303698', '3068739584', '3165027986', '323176180', '25566623', '184794991', '2882956356', '2804054684', '94381174', '235050865', '1549877912', '70788312', '1642780106', '38308127', '6404332', '316134820', '113675196', '178292490', '180334367', '248114039', '3139090669', '494660289', '2602742910', '294583964', '3007852093', '119643108', '599993384', '2863789734', '557551007', '223354275', '3088122259', '186137707', '159340561', '701903334', '52716120', '15006037', '422640082', '635216931', '2351288275', '2881778521', '160533181', '1228721130', '53235667', '1263614940', '167287748', '2757158197', '110610142', '37532116', '2829981994', '1107887564', '1861351824', '128883924', '1075255615', '121040190', '2985771490', '1224654217', '2841517889', '113050169', '271470622', '36505185', '56088798', '171691600', '1305588362', '306086150', '180510332', '3174550964', '481124115', '22653680', '1008150601', '2742306288', '866130024', '598209621', '2285067184', '23959413', '2423229332', '134850324', '2973916486', '1003857768', '370855359', '121284544', '285155226', '72706506', '338168830', '146483907', '437582976', '1402108375', '1315643804', '2936553124', '3094356211', '2559554666', '2173553618', '145281864', '2768625548', '1659681578', '2531643876', '385844991', '2963190840', '282674106', '3168349205', '181425925', '264067941', '2939549036', '1342407211', '357229275', '454968890', '464431420', '3207697689', '2438189863']","[1429996870.0, 1429996875.0, 1429996914.0, 1429997013.0, 1429997014.0, 1429997043.0, 1429997050.0, 1429997058.0, 1429997073.0, 1429997076.0, 1429997076.0, 1429997079.0, 1429997093.0, 1429997093.0, 1429997097.0, 1429997109.0, 1429997132.0, 1429997174.0, 1429997175.0, 1429997189.0, 1429997198.0, 1429997201.0, 1429997206.0, 1429997208.0, 1429997229.0, 1429997232.0, 1429997261.0, 1429997280.0, 1429997289.0, 1429997295.0, 1429997310.0, 1429997320.0, 1429997326.0, 1429997327.0, 1429997358.0, 1429997360.0, 1429997362.0, 1429997366.0, 1429997372.0, 1429997401.0, 1429997413.0, 1429997429.0, 1429997479.0, 1429997499.0, 1429997513.0, 1429997543.0, 1429997558.0, 1429997563.0, 1429997569.0, 1429997578.0, 1429997599.0, 1429997635.0, 1429997643.0, 1429997647.0, 1429997686.0, 1429997706.0, 1429997714.0, 1429997754.0, 1429997762.0, 1429997762.0, 1429997793.0, 1429997808.0, 1429997813.0, 1429997861.0, 1429997872.0, 1429997873.0, 1429997922.0, 1429997928.0, 1429997929.0, 1429997953.0, 1429997955.0, 1429997974.0, 1429998033.0, 1429998042.0, 1429998059.0, 1429998107.0, 1429998108.0, 1429998133.0, 1429998133.0, 1429998141.0, 1429998156.0, 1429998160.0, 1429998163.0, 1429998204.0, 1429998213.0, 1429998224.0, 1429998247.0, 1429998258.0, 1429998270.0, 1429998288.0, 1429998306.0, 1429998308.0, 1429998331.0, 1429998339.0, 1429998375.0, 1429998414.0, 1429998419.0, 1429998424.0, 1429998440.0, 1429998442.0, 1429998458.0, 1429998460.0, 1429998485.0, 1429998489.0, 1429998527.0, 1429998531.0, 1429998547.0, 1429998582.0, 1429998591.0, 1429998594.0, 1429998607.0, 1429998629.0, 1429998634.0, 1429998671.0, 1429998725.0, 1429998833.0, 1429998840.0, 1429998854.0, 1429998882.0, 1429998919.0, 1429998936.0, 1429998993.0, 1429998999.0, 1429999079.0, 1429999170.0, 1429999183.0, 1429999223.0, 1429999223.0, 1429999273.0, 1429999283.0, 1429999327.0, 1429999391.0, 1429999409.0, 1429999439.0, 1429999563.0, 1429999582.0, 1429999682.0, 1429999718.0, 1429999790.0, 1429999821.0, 1429999828.0, 1429999860.0, 1429999942.0, 1430000150.0, 1430000231.0, 1430000247.0, 1430000266.0, 1430000340.0, 1430000404.0, 1430000489.0, 1430000594.0, 1430000605.0, 1430000716.0, 1430000867.0, 1430000880.0, 1430000964.0, 1430001172.0, 1430001213.0, 1430001410.0, 1430001412.0, 1430001495.0, 1430001628.0, 1430001675.0, 1430001755.0, 1430001783.0, 1430001814.0, 1430001818.0, 1430001964.0, 1430002005.0, 1430002136.0, 1430002158.0, 1430002219.0, 1430002364.0, 1430002405.0, 1430002543.0, 1430002686.0, 1430003037.0, 1430003050.0, 1430003148.0, 1430003162.0, 1430003366.0, 1430003380.0, 1430003516.0, 1430003516.0, 1430003620.0, 1430003644.0, 1430003703.0, 1430003735.0, 1430003817.0, 1430003883.0, 1430003954.0, 1430003958.0, 1430003969.0, 1430004118.0, 1430004382.0, 1430004764.0, 1430004798.0, 1430005042.0, 1430005115.0, 1430005145.0, 1430005181.0, 1430005573.0, 1430005637.0, 1430005680.0, 1430006362.0, 1430006498.0, 1430006803.0, 1430007942.0, 1430008126.0, 1430008275.0, 1430008511.0, 1430008801.0, 1430008816.0, 1430008849.0, 1430008953.0, 1430009277.0, 1430010342.0, 1430010790.0, 1430011201.0, 1430011357.0, 1430011569.0, 1430012767.0, 1430013355.0, 1430013481.0, 1430013496.0, 1430013531.0, 1430014074.0, 1430014078.0, 1430014231.0, 1430014865.0, 1430015407.0, 1430016170.0, 1430016270.0, 1430016880.0, 1430016891.0, 1430017053.0, 1430017761.0, 1430018302.0, 1430018686.0, 1430018776.0, 1430018864.0, 1430020590.0, 1430024829.0, 1430025042.0, 1430025069.0, 1430025216.0, 1430025234.0, 1430025445.0, 1430026124.0, 1430027619.0, 1430027760.0, 1430027926.0, 1430029986.0, 1430034062.0, 1430035779.0, 1430036503.0, 1430037453.0, 1430039837.0, 1430042397.0, 1430043022.0, 1430047082.0, 1430047459.0, 1430102250.0]",262,759251,,47366,https://twitter.com/anyuser/status/592158743455993856,210100.0,Are you searching for someone after the #NepalQuake? You can share your story here: http://cnn.it/1z1lPUo,"9. Personal experience, stories, and missing people",0
591922467360276480,"['101198777', '2465344748', '2774554965', '456982384', '1275084318', '3161972564', '2883048571', '1520941430', '1596699661', '107318424', '368727210', '3120659252', '310706085', '2287791115', '580846506', '376627530', '432702176', '170368356', '2369166810', '187130362', '2427921858', '2702582446', '228170519', '566158927', '186415714', '1411810117', '32798863', '2293083325', '2156390032', '1428222384', '3145812792', '1610350081', '2797721734', '15218125', '2920717058', '102088701', '3069070094', '2826266431', '2316723585', '414584325', '178736813', '86396706', '37646068', '464783671', '56085497', '3036368395', '362952781', '804351884', '2574959892', '399942868', '284465471', '2612055031', '3159924732', '2817227598', '1960913142', '112419917', '2215228706', '2727373655', '2261135412', '152031990', '169000124', '2828157694', '333100511', '1691315948', '2937693115', '576578481', '2177506669', '3118011586', '59406259', '2578281805', '59108237', '1642574778', '345583713', '3075548802', '61540838', '2375006436', '302591774', '101124944', '1922143758', '2412422576', '816653796', '134071848', '1140431672', '2878669546', '137666566', '41840235', '3134768072', '2676111288', '729697464', '159716540', '551639821', '75631145', '2446924104', '2649266304', '1060706082', '387288775', '367761127', '1067910619', '2423686334', '201553106', '455094209', '186079310', '1603048856', '1479111684', '79713901', '176087555', '131927716', '72494806', '2805956041', '159855876', '508799414', '288890719', '290886346', '1543923596', '598228689', '233888180', '2204112777', '2931040038', '354733755', '1329442502', '2364004794', '839710766', '634071880', '116400554', '2605309555', '131448994', '581040972']","[1429941204.0, 1429941218.0, 1429941219.0, 1429941235.0, 1429941237.0, 1429941274.0, 1429941320.0, 1429941320.0, 1429941381.0, 1429941395.0, 1429941418.0, 1429941425.0, 1429941441.0, 1429941447.0, 1429941456.0, 1429941468.0, 1429941470.0, 1429941506.0, 1429941513.0, 1429941529.0, 1429941568.0, 1429941577.0, 1429941581.0, 1429941581.0, 1429941603.0, 1429941642.0, 1429941687.0, 1429941699.0, 1429941701.0, 1429941719.0, 1429941723.0, 1429941745.0, 1429941784.0, 1429941845.0, 1429941891.0, 1429941895.0, 1429941899.0, 1429942002.0, 1429942020.0, 1429942046.0, 1429942067.0, 1429942068.0, 1429942075.0, 1429942107.0, 1429942147.0, 1429942185.0, 1429942248.0, 1429942258.0, 1429942358.0, 1429942361.0, 1429942361.0, 1429942408.0, 1429942435.0, 1429942489.0, 1429942562.0, 1429942605.0, 1429942709.0, 1429942713.0, 1429942719.0, 1429942722.0, 1429942722.0, 1429942733.0, 1429942797.0, 1429942810.0, 1429942969.0, 1429943080.0, 1429943152.0, 1429943263.0, 1429943432.0, 1429943457.0, 1429943460.0, 1429943683.0, 1429943864.0, 1429943889.0, 1429944802.0, 1429944887.0, 1429944934.0, 1429945012.0, 1429945403.0, 1429945546.0, 1429945708.0, 1429945785.0, 1429945837.0, 1429946109.0, 1429946127.0, 1429946266.0, 1429946563.0, 1429946991.0, 1429947408.0, 1429947947.0, 1429948010.0, 1429948059.0, 1429948644.0, 1429948769.0, 1429949209.0, 1429949268.0, 1429949563.0, 1429949713.0, 1429950459.0, 1429950620.0, 1429950703.0, 1429951731.0, 1429952153.0, 1429952398.0, 1429952868.0, 1429953601.0, 1429954124.0, 1429954982.0, 1429955528.0, 1429956624.0, 1429956698.0, 1429957232.0, 1429958084.0, 1429958560.0, 1429984814.0, 1429986500.0, 1429990246.0, 1429992500.0, 1429996787.0, 1429998108.0, 1429998529.0, 1430003405.0, 1430003523.0, 1430003667.0, 1430004414.0, 1430012116.0, 1430016972.0, 1430033403.0]",127,18681139,,22237,https://twitter.com/anyuser/status/591922467360276480,4234.0,@priyankachopra  Do share this  For blood requirements in Kathmandu Contact Mr. Adhikari 00977-9862005225,"7. Relief efforts, resources, donations, and infrastructure",0
592220099156676609,"['3101345671', '1052663983', '18939918', '474868210', '101479358', '134494857', '2542890079', '233352834', '2713541911', '405037800', '70141271', '2990977423', '2768949327', '2590258036', '2150448842', '18860860', '149917241', '15978380', '1936232724', '3020889060', '2160715622', '16829397', '198819587', '2907745334', '376857119', '82832671', '2270141198', '267590507', '554902852']","[1430012101.0, 1430012146.0, 1430012199.0, 1430012243.0, 1430012266.0, 1430012324.0, 1430012344.0, 1430012354.0, 1430012418.0, 1430012446.0, 1430012492.0, 1430012513.0, 1430012552.0, 1430012566.0, 1430012570.0, 1430012863.0, 1430012870.0, 1430012916.0, 1430012955.0, 1430013028.0, 1430013066.0, 1430013077.0, 1430013431.0, 1430013607.0, 1430013754.0, 1430014195.0, 1430015317.0, 1430015401.0, 1430016288.0, 1430019892.0]",29,134758540,,20612,https://twitter.com/anyuser/status/592220099156676609,3263.0,#Makalu 40 climbers from 20 teams are safe in Advance Base Camp including British Adrian Hayes. #NepalQuake #NepalEarthquake,"7. Relief efforts, resources, donations, and infrastructure",0
592282258955898882,"['123388787', '36082406', '21765964', '365718021', '285576867', '2304873134', '90118104', '18924074', '159619576', '266703523', '2164926907', '172989365', '3172292916', '305284179', '265390316', '1349829794', '68996397', '16617906', '2198907836', '74753884', '353747249', '2875016598', '27782556', '2149693184', '211778157', '2271981006', '63023157', '279176750', '383496719', '34266989', '2564089361', '3138184362', '31563425', '2409414559']","[1430026621.0, 1430026686.0, 1430026695.0, 1430026843.0, 1430026879.0, 1430026897.0, 1430027005.0, 1430027074.0, 1430027186.0, 1430027194.0, 1430027351.0, 1430027355.0, 1430027366.0, 1430027434.0, 1430027449.0, 1430027458.0, 1430027460.0, 1430027564.0, 1430027939.0, 1430027971.0, 1430028606.0, 1430028623.0, 1430028789.0, 1430029439.0, 1430029474.0, 1430029492.0, 1430030141.0, 1430030363.0, 1430031167.0, 1430035497.0, 1430035565.0, 1430038990.0, 1430046080.0, 1430047519.0, 1430054730.0]",34,5392522,,19852,https://twitter.com/anyuser/status/592282258955898882,9667.0,"Just landed in Kathmandu, circled for 1.5 hrs as airport closed again due to reported aftershock. Now sitting on Tarmac #NepalQuake",3. Aftershocks and tremors,1
591991874971443200,"['2921773046', '238031393', '2442816186', '1100466732', '17485196', '291349358', '35482645', '2730610755', '60638838', '44090607', '97372093', '168603833', '339575191', '35465163', '257379234', '930282914', '53563522', '817333831', '2209223749', '50844555', '1642978584', '1633699460', '182506310', '3008466290', '570598748', '164819254', '986104994', '266302408', '161662833', '3023687653', '73847521', '479264032', '481419920', '66963514', '3071201190', '309325345', '2887175468', '475515079', '2901284684', '2989023561', '844369068', '3138798985', '3109566408', '3071741208', '2992374768', '3032954696', '2983721184', '3011372160', '3053324910', '3017676715']","[1429957450.0, 1429957517.0, 1429957519.0, 1429957534.0, 1429957534.0, 1429957546.0, 1429957587.0, 1429957607.0, 1429957653.0, 1429957659.0, 1429957667.0, 1429957698.0, 1429957714.0, 1429957759.0, 1429957787.0, 1429957813.0, 1429957818.0, 1429957847.0, 1429957847.0, 1429957966.0, 1429958087.0, 1429958321.0, 1429958741.0, 1429976727.0, 1429976940.0, 1429977423.0, 1429977430.0, 1429977722.0, 1429993718.0, 1429994029.0, 1429994539.0, 1429995080.0, 1430000393.0, 1430000458.0, 1430000853.0, 1430004808.0, 1430008914.0, 1430012911.0, 1430013038.0, 1430013751.0, 1430024046.0, 1430028877.0, 1430034053.0, 1430034195.0, 1430035280.0, 1430035597.0, 1430035752.0, 1430036566.0, 1430037817.0, 1430037966.0, 1430040289.0]",50,14499829,,18994,https://twitter.com/anyuser/status/591991874971443200,153600.0,WHO supporting Nepal to assess health needs & damage to health facilities at the Nepal Health Emergency Operations Center. #NepalEarthquake,"7. Relief efforts, resources, donations, and infrastructure",0
592327928534306816,"['375760951', '1550821693', '3129912489', '906434948', '335721343', '2306089197', '3104950051', '1543436755', '266275382']","[1430038055.0, 1430038130.0, 1430038146.0, 1430038206.0, 1430038796.0, 1430039134.0, 1430039224.0, 1430039756.0, 1430040954.0, 1430049383.0]",9,1367531,,18527,https://twitter.com/anyuser/status/592327928534306816,35000.0,"Fmr US Amb 2Saudi Robert Jordan on #Nepal: ""Opportunity for #America to make a difference""",4. International response and international support,0
591930793330495488,"['113542931', '311518430', '1853112116', '178736813', '509725318', '2525366498', '2883344179', '526256506', '1926134820', '624918100', '351512899', '377301224', '255580961', '3103931990', '103532314', '53439194', '149845543', '101453787', '1353739118', '615455383', '35234309', '72875777', '130050046', '363539800', '252139196', '204402887', '1531465705', '462154981', '503187442', '101375324', '121047524', '120384642', '313385516', '112417560', '19636648', '350728896', '71744568', '2893409324', '61453825', '3007092769', '2823653589', '1910602848', '556583189', '324839994', '1144934413']","[1429943093.0, 1429943112.0, 1429943144.0, 1429943165.0, 1429943167.0, 1429943185.0, 1429943250.0, 1429943258.0, 1429943272.0, 1429943349.0, 1429943383.0, 1429943385.0, 1429943390.0, 1429943399.0, 1429943403.0, 1429943462.0, 1429943465.0, 1429943512.0, 1429943525.0, 1429943568.0, 1429943631.0, 1429943808.0, 1429943870.0, 1429943920.0, 1429944034.0, 1429944112.0, 1429944225.0, 1429944278.0, 1429944318.0, 1429944408.0, 1429944478.0, 1429944519.0, 1429944566.0, 1429944637.0, 1429944650.0, 1429945049.0, 1429945241.0, 1429946036.0, 1429947379.0, 1429947509.0, 1429948334.0, 1429948465.0, 1429948520.0, 1429950896.0, 1429953666.0, 1429955214.0]",45,19929890,,17045,https://twitter.com/anyuser/status/591930793330495488,24800.0,Nepal govt spokesman - death toll now 686 across 29 Nepal districts. No clear figure on missing. Praying  @ndtv,"2. Impact, aftermath, death toll",0
592172023771766784,"['64141011', '14678264', '593563863', '3147139038', '132243158', '1737637465', '14794913', '14402269', '19498323', '1544857573', '227259371']","[1429999997.0, 1430000067.0, 1430000139.0, 1430000175.0, 1430000201.0, 1430000278.0, 1430000283.0, 1430000950.0, 1430000960.0, 1430001438.0, 1430001607.0, 1430002810.0]",11,5695632,,16792,https://twitter.com/anyuser/status/592172023771766784,145900.0,Leading  @BuzzFeed  tonight ...  Baltimore: http://buzzfeed.com/jimdalrympleii/windows-broken-scuffles-break-out-at-baltimore-protests#.pmxAP7m2Xz / Nepal: http://buzzfeed.com/felipearaujo/nepal-shaken-up-by-major-earthquake#.xx8PWla4oX,4. International response and international support,0
592278206666788865,"['517212934', '1121656052', '95003808', '966070146', '1936281469', '2884807063', '124401884', '3069472460', '866425388', '973470600', '2862112039', '152712931', '73057376', '3017137088']","[1430025353.0, 1430025412.0, 1430025757.0, 1430025777.0, 1430026057.0, 1430026140.0, 1430026232.0, 1430026354.0, 1430026454.0, 1430027730.0, 1430028049.0, 1430029886.0, 1430030418.0, 1430035306.0, 1430044078.0]",14,36327407,,14184,https://twitter.com/anyuser/status/592278206666788865,694.0,Nepal quake: How they got it wrong with insensitive posts on social media http://read.ht/qWj  @htTweets,"6. Controversy, criticism, social and political commentary",0
592367819070775296,"['1666083234', '2647590572', '392777552', '177712278', '21397149', '165477824', '143765429', '17374599', '180705418', '25161342', '488688429', '3190388565']","[1430046715.0, 1430047028.0, 1430047043.0, 1430047054.0, 1430047114.0, 1430047413.0, 1430047436.0, 1430047522.0, 1430047750.0, 1430047986.0, 1430048275.0, 1430049702.0, 1430053189.0]",12,1877831,,14132,https://twitter.com/anyuser/status/592367819070775296,10100.0,"Major logistical difficulties in Nepal after quake. Example: its army has only one big helicopter, writes  @kundadixit  http://nyti.ms/1Dz9m7a","7. Relief efforts, resources, donations, and infrastructure",0
